Category,Feature,Priority,CRUD,UI,API,Tests,Seed,Status,Notes
Shared / delegated,Delegate mailbox/calendar,P1,Yes,Yes,Yes,Yes,N/A,pending,Permission level management
Groups,M365 group inbox / calendar / files,P1,Yes,Yes,Yes,Yes,Yes,pending,Group surfaces
Groups,Join / leave,P1,Yes,Yes,Yes,Yes,N/A,pending,Membership management
Inbox modes,Focused vs Other,P1,N/A,Yes,Yes,Yes,Yes,pending,ML-sorted inbox
Schedule send / snooze,Schedule send for later,P1,Yes,Yes,Yes,Yes,N/A,pending,Delayed delivery
Schedule send / snooze,Snooze message until time,P1,Yes,Yes,Yes,Yes,N/A,pending,Resurface later
Pinning,Pin important messages,P1,Yes,Yes,Yes,Yes,N/A,pending,Pinned section at top of inbox
Mentions,@ in body,P1,N/A,Yes,Yes,Yes,N/A,pending,Flag attention + mentions filter
Encryption,Sensitivity labels (confidential / encrypt),P1,N/A,Yes,Yes,Yes,N/A,pending,DLP labels
Encryption,DLP warnings,P1,N/A,Yes,Yes,Yes,N/A,pending,Pre-send checks
Calendar sharing,Publish calendar (availability or full),P1,Yes,Yes,Yes,Yes,N/A,pending,External link sharing
To Do integration,"Lists, sublists, due, reminders, recurrence",P1,Yes,Yes,Yes,Yes,Yes,pending,Full task UI
Quick steps,One-click multi-action macros,P1,Yes,Yes,Yes,Yes,Yes,pending,"E.g., Reply and delete"
Add-ins,"Sidebar add-ins (Zoom, Salesforce, Asana stubs)",P1,N/A,Yes,N/A,Yes,N/A,pending,Third-party stub panels
Follow-ups,"If no reply in N days, surface",P1,Yes,Yes,Yes,Yes,N/A,pending,Boomerang-like follow-up
